date,district,day,month,year,bib6,bib8,lbib,lbio6,lbio8,treat,postd
01jul1929,6,1,7,1929,141,169,4.94876,4.94876,5.1298985,1,0
01jul1929,8,1,7,1929,141,169,5.1298985,4.94876,5.1298985,0,0
02jul1929,6,2,7,1929,141,169,4.94876,4.94876,5.1298985,1,0
02jul1929,8,2,7,1929,141,169,5.1298985,4.94876,5.1298985,0,0
03jul1929,6,3,7,1929,141,169,4.94876,4.94876,5.1298985,1,0
03jul1929,8,3,7,1929,141,169,5.1298985,4.94876,5.1298985,0,0
04jul1929,6,4,7,1929,141,169,4.94876,4.94876,5.1298985,1,0
04jul1929,8,4,7,1929,141,169,5.1298985,4.94876,5.1298985,0,0
05jul1929,6,5,7,1929,141,169,4.94876,4.94876,5.1298985,1,0
05jul1929,8,5,7,1929,141,169,5.1298985,4.94876,5.1298985,0,0
06jul1929,6,6,7,1929,141,169,4.94876,4.94876,5.1298985,1,0
06jul1929,8,6,7,1929,141,169,5.1298985,4.94876,5.1298985,0,0
07jul1929,6,7,7,1929,141,169,4.94876,4.94876,5.1298985,1,0
07jul1929,8,7,7,1929,141,169,5.1298985,4.94876,5.1298985,0,0
08jul1929,6,8,7,1929,141,169,4.94876,4.94876,5.1298985,1,0
08jul1929,8,8,7,1929,141,169,5.1298985,4.94876,5.1298985,0,0
09jul1929,6,9,7,1929,141,169,4.94876,4.94876,5.1298985,1,0
09jul1929,8,9,7,1929,141,169,5.1298985,4.94876,5.1298985,0,0
10jul1929,6,10,7,1929,141,169,4.94876,4.94876,5.1298985,1,0
10jul1929,8,10,7,1929,141,169,5.1298985,4.94876,5.1298985,0,0
11jul1929,6,11,7,1929,141,169,4.94876,4.94876,5.1298985,1,0
11jul1929,8,11,7,1929,141,169,5.1298985,4.94876,5.1298985,0,0
12jul1929,6,12,7,1929,141,169,4.94876,4.94876,5.1298985,1,0
12jul1929,8,12,7,1929,141,169,5.1298985,4.94876,5.1298985,0,0
13jul1929,6,13,7,1929,141,169,4.94876,4.94876,5.1298985,1,0
13jul1929,8,13,7,1929,141,169,5.1298985,4.94876,5.1298985,0,0
14jul1929,6,14,7,1929,141,169,4.94876,4.94876,5.1298985,1,0
14jul1929,8,14,7,1929,141,169,5.1298985,4.94876,5.1298985,0,0
15jul1929,6,15,7,1929,141,169,4.94876,4.94876,5.1298985,1,0
15jul1929,8,15,7,1929,141,169,5.1298985,4.94876,5.1298985,0,0
16jul1929,6,16,7,1929,141,169,4.94876,4.94876,5.1298985,1,0
